0,1
"{'Source': 'All laws', 'Article': 'Art. 4', 'Comma number': '1852.', 'Comma content': ""1852.\n\nOrdiniamo che il presente Decreto, munito del Sigillo dello Stato, sia inserto nella Raccolta ufficiale delle Leggi e dei Decreti del Regno d'Italia, mandando a chiunque spetti di osservarlo e di farlo osservare.\n\nDat. Torino, addì 20 ottobre 1861.\n\nVITTORIO EMANUELE.\n\nA. Della Rovere.""}",
"{'Source': 'All laws', 'Article': 'Art. 3', 'Comma number': '1862.', 'Comma content': ""1862.\n\nOrdiniamo che il presente Decreto, munito del Sigillo dello Stato sia inserto nella Raccolta ufficiale delle Leggi e dei Decreti del Regno d'Italia, mandando a chiunque spetti di osservarlo e di farlo osservare.\n\nDato a Torino, il 20 ottobre 1861.\n\nVITTORIO EMANUELE.\n\nB. Ricasoli.""}",
"{'Source': 'All laws', 'Article': 'Art. 2', 'Comma number': '42.', 'Comma content': ""42.\n\nc. All'art. 21 invece delle parole: la voix des Presidents, dire la voix du President.\n\nd. All'art. 22 dove si parla dei voti del mandatario (Deleguè), al n.° 4 sostituire il n.° 2.\n\ne. All'art. 26 invece di Commissaire, dire Deleguè.\n\nf. Allo stesso articolo ove si parla dei membri del Comitato permanente in vece di quatre dire deux.\n\ng. Riformare l'art. 28 nei seguenti termini: l'organisation de ces bureaux et leurs attributions seront fixees par l'Assemblee generale.\n\nh. Nell'art. 31 citarsi l'art. 30 in luogo del 29, e l'art. 32 invece del 31.\n\ni. Dall'art. 32 togliere le parole: suivant le present article.\n\nk. Nell'art. 33 dopo le parole: toutes les fois que le Conseil d'administration, aggiungere: Ou le Commissaire Royal.\n\nl. All'art. 35 alla parola Bureau, sostituire la voce President.\n\nm. All'art. 36 citarsi invece dell'art. 38 l'art. 37.\n\nn. Riformare l'art 37 come segue: Les membres de l'Assemblee ont autant de voix qùils possedent de fois 20 actions sans que ce nombre puisse exceder cinq voix, ou dix voix dans le cas de representation.\n\no. Aggiungere in fine dell'art. 39 le parole: et par le Commissaire Royal.\n\np. All'art. 42 n.° 1 sopprimere le parole: l'amortissement et, surrogandovi semplicemente la preposizione du, e al n.° 2 togliere la voce de che precede la parola leur.\n\nq. All'art. 43 citare l'art. 42 invece del""}",
"{'Source': 'All laws', 'Article': 'Art. 2', 'Comma number': '1862.', 'Comma content': ""1862. ((1))\n\nOrdiniamo che il presente Decreto, munito del Sigillo dello Stato, sia inserto nella raccolta ufficiale delle leggi e dei decreti del Regno d'Italia, mandando a chiunque spetti di osservarlo e di farlo osservare.\n\nDato a Torino addì 10 agosto 1862.\n\nVITTORIO EMANUELE.\n\nRegistrato alla Corte dei conti addì 13 agosto 1862\n\nReg.° 20 Atti del Governo a c. 176. Wehrlin.\n\nLuogo del Sigillo. V. Il Guardasigilli R. Conforti.\n\nPepoli.""}",
"{'Source': 'All laws', 'Article': 'Art. 3', 'Comma number': '1863.', 'Comma content': ""1863.\n\nNel bilancio passivo del Ministero d'Agricoltura, Industria e Commercio pel futuro anno sarà inscritto il fondo necessario per far fronte alla spesa sopraindicata.\n\nOrdiniamo che il presente Decreto, munito del Sigillo dello Stato, sia inserto nella raccolta ufficiale delle leggi e dei decreti del Regno d'Italia, mandando a chiunque spetti di osservarlo e di farlo osservare.\n\nDato a Torino addì 17 luglio 1862.\n\nVITTORIO EMANUELE\n\nRegistrato alla Corte dei conti addì 23 luglio 1862\n\nReg.° 20 Atti del Governo a c. 130. Wehrlin.\n\nLuogo del Sigillo. V. Il Guardasigilli R. Conforti.\n\nPepoli.""}",
"{'Source': 'All laws', 'Article': 'Art. 2', 'Comma number': '1862.', 'Comma content': ""1862.\n\nOrdiniamo che il presente Decreto, munito del Sigillo dello Stato, sia inserto nella raccolta ufficiale delle leggi e dei decreti del Regno d'Italia, mandando a chiunque spetti di osservarlo e di farlo osservare.\n\nDato a Torino addì 13 marzo 1862.\n\nVITTORIO EMANUELE\n\nRegistrato alla Corte dei conti addì 17 marzo 1862\n\nReg.° 19 Atti del Governo a c. 119. Wehrlin.\n\nLuogo del Sigillo. V. Il Guardasigilli Cordova.\n\nPepoli.""}",
"{'Source': 'All laws', 'Article': 'Art. 2', 'Comma number': '1839.', 'Comma content': ""1839.\n\nOrdiniamo che il presente Decreto, munito del Sigillo dello Stato, sia inserto nella raccolta ufficiale delle Leggi e dei Decreti del Regno d'Italia, mandando a chiunque spetti di osservarlo e di farlo osservare.\n\nDato a Firenze addì 18 maggio 1865.\n\nVITTORIO EMANUELE.\n\nRegistrato alla Corte dei conti addì 3 giugno 1865\nReg.° 32 Atti del Governo a c. 222. Crodara-Visconti.\nLuogo del Sigillo. V. Il Guardasigilli VACCA.\n\nD. ANGIOLETTI.""}",
"{'Source': 'All laws', 'Article': 'Art. 7', 'Comma number': '1866.', 'Comma content': ""1866. ((2))\n\nQualora la rendita del fondo per il conto non fosse sufficiente a soddisfare immediatamente a tutti i pesi portati dai numeri 1 e 2 dell'articolo 28, l'amministrazione del fondo per il culto è autorizzata, per la somma deficiente, a contrarre un prestito da rimborsarsi con gli avanzi che si verranno d'anno in anno verificando.""}",
"{'Source': 'All laws', 'Article': 'Art. 3', 'Comma number': '150.', 'Comma content': ""150.\n\nOrdiniamo che il presente Decreto, munito del Sigillo dello Stato, sia inserto nella raccolta ufficiale delle leggi e dei decreti del Regno d'Italia, mandando a chiunque spetti di osservarlo e di farlo osservare.\n\nDato a Firenze addì 22 aprile 1866.\n\nVITTORIO EMANUELE\n\nRegistrato alla Corte dei conti addì 11 maggio 1866\n\nReg° 36 Atti del Governo a c. 10. Ayres.\n\nLuogo del Sigillo. V. Il Guardasigilli De Falco.\n\nBerti.""}",
"{'Source': 'All laws', 'Article': 'Art. 5', 'Comma number': '1868.', 'Comma content': ""1868.\n\nOrdiniamo che la presente, munita del sigillo dello Stato, sia inserta nella raccolta ufficiale delle Leggi e dei Decreti del Regno d'Italia, mandando a chiunque spetti di osservarla e di farla osservare come Legge dello Stato.\n\nDato a Firenze addì 9 febbraio 1868.\n\nVITTORIO EMANUELE\n\nLuogo del sigillo. V. Il Guardasigilli De Filippo.\n\nC. Cadorna.""}",
"{'Source': 'All laws', 'Article': 'Art. 2', 'Comma number': '1867.', 'Comma content': ""1867.\n\nOrdiniamo che il presente Decreto, munito del sigillo dello Stato, sia inserto nella raccolta ufficiale delle Leggi e dei Decreti del Regno d'Italia, mandando a chiunque spetti di osservarlo e di farlo osservare.\n\nDato a Firenze addì 3 dicembre 1869.\n\nVITTORIO EMANUELE.\n\nRegistrato alla Corte dei conti addì 13 dicembre 1869\nReg. 49 Atti del Governo a c. 99. Ayres.\nLuogo del sigillo. V. Il Guardasigilli VIGLIANI.\n\nMARCO MINGHETTI.""}",
"{'Source': 'All laws', 'Article': 'Art. 3', 'Comma number': '100.', 'Comma content': ""100.\n\nOrdiniamo che il presente Decreto, munito del sigillo dello Stato, sia inserto nella raccolta ufficiale delle Leggi e dei Decreti del Regno d'Italia, mandando a chiunque spetti di osservarlo e di farlo osservare.\n\nDato a Torino addì 5 agosto 1869.\n\nVITTORIO EMANUELE\n\nRegistrato alla Corte dei conti addì 14 agosto 1869\n\nReg. 48 Atti del Governo a c. 22 Crodara Visconti\n\nLuogo del sigillo. V. Il Guardasigilli Pironti.\n\nMarco Minghetti.""}",
"{'Source': 'All laws', 'Article': 'Art. 3', 'Comma number': '1861.', 'Comma content': ""1861. n. 253, il quale rimane nelle altre sue parti in vigore.\n\nOrdiniamo che il presente Decreto, munito del sigillo dello Stato, sia inserto nella raccolta ufficiale delle Leggi e dei Decreti del Regno d'Italia, mandando a chiunque spetti di osservarlo e di farlo osservare.\n\nDato a Firenze addì 24 gennaio 1869.\n\nVITTORIO EMANUELE\n\nRegistrato alla Corte dei conti addì 1° febbraio 1869\n\nReg. 45 Atti del Governo a c. 125. Ayres.\n\nLuogo del sigillo. V. Il Guardasigilli De Filippo.\n\nA. Ciccone.""}",
"{'Source': 'All laws', 'Article': 'Art. 1', 'Comma number': '1.', 'Comma content': '1. Quello di Nosedo è soppresso ed unito a quello di Chiaravalle Milanese;'}","{'Source': 'All laws', 'Article': 'Art. 1', 'Comma number': '2.', 'Comma content': '2. Quello di Bolgiano è soppresso ed unita a quello di S.\nDonato Milanese;'}"
"{'Source': 'All laws', 'Article': 'Art. 2', 'Comma number': '200.', 'Comma content': ""200.\n\nOrdiniamo che il presente Decreto, munito del sigillo dello Stato, sia inserto nella raccolta ufficiale delle Leggi e dei Decreti del Regno d'Italia, mandando a chiunque spetti di osservarlo e di farlo osservare.\n\nDato al Castello di Sant'Anna presso Valdieri addì 15 agosto 1871.\n\nVITTORIO EMANUELE\n\nRegistrato alla Corte dei conti addì agosto 1871\n\nReg. 57 Atti del Governo a c. 72. D. Gherardi.\n\nLuogo del sigillo. V. Il Guardasigilli De Falco.\n\nCastagnola.""}",
